code,municipality,score,year,subject,treated,post,treat_post,baseline_score,low_baseline,triple
4300034,Aceguá,244.88,2007,Matemática,0,0,0,258.8025,1,0
4300059,Água Santa,263.71,2007,Matemática,0,0,0,273.90999999999997,0,0
4300109,Agudo,276.83,2007,Matemática,1,0,0,283.125,0,0
4300208,Ajuricaba,271.56,2007,Matemática,0,0,0,282.4875,0,0
4300307,Alecrim,259.69,2007,Matemática,0,0,0,270.22,0,0
4300406,Alegrete,241.41,2007,Matemática,0,0,0,255.27499999999998,1,0
4300455,Alegria,241.33,2007,Matemática,0,0,0,248.785,1,0
4300471,Almirante Tamandaré do Sul,,2007,Matemática,0,0,0,263.03499999999997,0,0
4300505,Alpestre,254.41,2007,Matemática,0,0,0,253.365,1,0
4300554,Alto Alegre,269.32,2007,Matemática,0,0,0,268.0275,0,0
4300570,Alto Feliz,266.97,2007,Matemática,1,0,0,272.85,0,0
4300604,Alvorada,237.17,2007,Matemática,0,0,0,249.875,1,0
4300638,Amaral Ferrador,220.42,2007,Matemática,0,0,0,243.3175,1,0
4300646,Ametista do Sul,249.9,2007,Matemática,0,0,0,260.3375,1,0
4300661,André da Rocha,,2007,Matemática,0,0,0,,0,0
4300703,Anta Gorda,276.21,2007,Matemática,0,0,0,275.6625,0,0
4300802,Antônio Prado,263.73,2007,Matemática,0,0,0,278.4175,0,0
4300851,Arambaré,245.13,2007,Matemática,0,0,0,261.385,1,0
4300877,Araricá,249.26,2007,Matemática,1,0,0,267.5125,0,0
4300901,Aratiba,267.29,2007,Matemática,0,0,0,272.885,0,0
4301008,Arroio do Meio,265.37,2007,Matemática,0,0,0,278.38,0,0
4301057,Arroio do Sal,255.11,2007,Matemática,0,0,0,259.7175,1,0
4301073,Arroio do Padre,248.43,2007,Matemática,0,0,0,276.6875,0,0
4301107,Arroio dos Ratos,233.54,2007,Matemática,0,0,0,258.9475,1,0
4301206,Arroio do Tigre,267.36,2007,Matemática,1,0,0,273.1425,0,0
4301305,Arroio Grande,244.93,2007,Matemática,1,0,0,252.03,1,0
