subject,year,estimate,se,p
Matemática,2007,4.897539672558452,2.172707883234069,0.024625265018149524
Matemática,2009,7.680149950765164,2.1006892367054837,0.00028357664280406416
Matemática,2011,7.635496876155752,1.9918338182756556,0.00014267634936659883
Matemática,2013,8.200412283376423,1.8280364666367148,9.0351272024778e-06
Matemática,2017,5.318129846064747,1.7344102094104814,0.002286156165179266
Matemática,2019,3.1977774762852533,1.686679321452584,0.058555230479153654
Matemática,2021,3.17487315173496,1.7620276543413702,0.07218056420996445
Matemática,2023,0.0,0.0,
Matemática,2025,2.008150723865719,1.8533345804018329,0.2790990328544124
Língua Portuguesa,2007,4.7566495790566,1.860266333056719,0.010855897822429532
Língua Portuguesa,2009,4.629852671083624,1.9400479280337601,0.017386030402324115
Língua Portuguesa,2011,5.4946100249654775,1.8870280511579778,0.003755939532740578
Língua Portuguesa,2013,5.289282827455033,1.7163739249238592,0.0021731646955350883
Língua Portuguesa,2017,3.584025957022658,1.7931188027294105,0.04617996460383868
Língua Portuguesa,2019,3.3411758329221444,1.690818123436853,0.04870159628225064
Língua Portuguesa,2021,4.4938222677951964,1.6108146409375563,0.005477757119282631
Língua Portuguesa,2023,0.0,0.0,
Língua Portuguesa,2025,2.157615207792687,1.4555186343770026,0.13887856142110838
