subject,model,estimate,se,p,n,clusters
Matemática,Principal: DiD 2023-2025,2.0469329896934187,2.5147412590107137,0.41605464625938277,948,492
Matemática,Múltiplos pré-períodos sem 2021,-0.776835062942582,1.8939633747399125,0.6818633142742065,1834,496
Matemática,Com 2021,-0.8783153299030664,1.6804184741256847,0.6014332113197505,2238,496
Matemática,Painel longo,-2.952674091566656,1.5659038227528985,0.05993369943116466,4019,496
Matemática,Heterogeneidade: treat_post,0.48866375892409675,2.3594218090782877,0.8360085237532673,948,492
Matemática,Heterogeneidade: triple,6.622644230771524,6.912127455441265,0.3384740258223147,948,492
Língua Portuguesa,Principal: DiD 2023-2025,2.412055791390383,1.9535664232923107,0.21753513999491614,948,492
Língua Portuguesa,Múltiplos pré-períodos sem 2021,-0.09468950890204453,1.5066741467955638,0.9499139412999884,1834,496
Língua Portuguesa,Com 2021,-0.5531882079307675,1.399492247991438,0.6928081700798999,2238,496
Língua Portuguesa,Painel longo,-1.7586387220434445,1.2625916093260678,0.1642812954585783,4019,496
Língua Portuguesa,Heterogeneidade: treat_post,1.2533227597169878,2.111570567622121,0.5530864400663691,948,492
Língua Portuguesa,Heterogeneidade: triple,4.92461538461415,4.066520634683223,0.22647241610307822,948,492
